"IndividualId","Time [min]","Organism|PeripheralVenousBlood|average compound|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,0.3333333,8.303492E-12
0,0.6666667,2.239992E-09
0,1,4.14462E-08
0,1.333333,2.801863E-07
0,1.666667,1.121674E-06
0,2,3.279331E-06
0,2.333333,7.798903E-06
0,2.666667,1.604543E-05
0,3,2.967156E-05
0,3.333333,5.05781E-05
0,3.666667,8.086992E-05
0,4,0.000122811
0,4.333333,0.0001787822
0,4.666667,0.0002512438
0,5,0.0003427007
0,5.333333,0.0004556725
0,5.666667,0.0005926648
0,6,0.0007561473
0,6.333333,0.0009485345
0,6.666667,0.001172169
0,7,0.001429311
0,7.333333,0.001722126
0,7.666667,0.002052679
0,8,0.002422926
0,8.333333,0.002834714
0,8.666667,0.003289773
0,9,0.003789717
0,9.333333,0.004336046
0,9.666667,0.004930137
0,10,0.005573265
0,10.33333,0.006266583
0,10.66667,0.007011149
0,11,0.007807905
0,11.33333,0.008657702
0,11.66667,0.009561289
0,12,0.01051932
0,12.33333,0.01153236
0,12.66667,0.01260088
0,13,0.01372528
0,13.33333,0.01490587
0,13.66667,0.0161429
0,14,0.01743652
0,14.33333,0.01878684
0,14.66667,0.0201939
0,15,0.02165767
0,15.33333,0.02317807
0,15.66667,0.02475496
0,16,0.02638815
0,16.33333,0.02807742
0,16.66667,0.02982247
0,17,0.03162298
0,17.33333,0.03347858
0,17.66667,0.03538889
0,18,0.03735345
0,18.33333,0.0393718
0,18.66667,0.04144344
0,19,0.04356784
0,19.33333,0.04574444
0,19.66667,0.04797267
0,20,0.05025192
0,20.33333,0.05258157
0,20.66667,0.05496097
0,21,0.05738947
0,21.33333,0.05986639
0,21.66667,0.06239103
0,22,0.06496266
0,22.33333,0.06758053
0,22.66667,0.07024382
0,23,0.07295172
0,23.33333,0.0757034
0,23.66667,0.07849805
0,24,0.08133483
0,24.33333,0.08421291
0,24.66667,0.08713149
0,25,0.09008976
0,25.33333,0.09308694
0,25.66667,0.09612223
0,26,0.09919486
0,26.33333,0.1023041
0,26.66667,0.1054491
0,27,0.1086293
0,27.33333,0.1118437
0,27.66667,0.1150917
0,28,0.1183726
0,28.33333,0.1216855
0,28.66667,0.1250299
0,29,0.1284048
0,29.33333,0.1318097
0,29.66667,0.1352438
0,30,0.1387064
0,30.33333,0.1421967
0,30.66667,0.1457142
0,31,0.149258
0,31.33333,0.1528275
0,31.66667,0.156422
0,32,0.1600408
0,32.33333,0.1636832
0,32.66667,0.1673486
0,33,0.1710363
0,33.33333,0.1747456
0,33.66667,0.1784759
0,34,0.1822265
0,34.33333,0.1859968
0,34.66667,0.1897862
0,35,0.193594
0,35.33333,0.1974195
0,35.66667,0.2012623
0,36,0.2051216
0,36.33333,0.2089969
0,36.66667,0.2128875
0,37,0.216793
0,37.33333,0.2207126
0,37.66667,0.2246459
0,38,0.2285923
0,38.33333,0.2325512
0,38.66667,0.236522
0,39,0.2405043
0,39.33333,0.2444974
0,39.66667,0.248501
0,40,0.2525143
0,40.33333,0.2565371
0,40.66667,0.2605686
0,41,0.2646085
0,41.33333,0.2686562
0,41.66667,0.2727113
0,42,0.2767733
0,42.33333,0.2808418
0,42.66667,0.2849162
0,43,0.2889961
0,43.33333,0.2930812
0,43.66667,0.2971708
0,44,0.3012647
0,44.33333,0.3053624
0,44.66667,0.3094635
0,45,0.3135675
0,45.33333,0.3176742
0,45.66667,0.321783
0,46,0.3258936
0,46.33333,0.3300056
0,46.66667,0.3341188
0,47,0.3382325
0,47.33333,0.3423466
0,47.66667,0.3464608
0,48,0.3505745
0,48.33333,0.3546875
0,48.66667,0.3587995
0,49,0.3629102
0,49.33333,0.3670191
0,49.66667,0.3711261
0,50,0.3752308
0,50.33333,0.379333
0,50.66667,0.3834322
0,51,0.3875283
0,51.33333,0.3916209
0,51.66667,0.3957098
0,52,0.3997947
0,52.33333,0.4038754
0,52.66667,0.4079515
0,53,0.4120229
0,53.33333,0.4160892
0,53.66667,0.4201503
0,54,0.4242059
0,54.33333,0.4282558
0,54.66667,0.4322997
0,55,0.4363374
0,55.33333,0.4403685
0,55.66667,0.4443929
0,56,0.4484102
0,56.33333,0.4524203
0,56.66667,0.4564229
0,57,0.4604178
0,57.33333,0.4644049
0,57.66667,0.4683837
0,58,0.4723543
0,58.33333,0.4763165
0,58.66667,0.48027
0,59,0.4842147
0,59.33333,0.4881503
0,59.66667,0.4920769
0,60,0.4959942
0,60.33333,0.4999021
0,60.66667,0.5038003
0,61,0.5076889
0,61.33333,0.5115676
0,61.66667,0.5154364
0,62,0.5192949
0,62.33333,0.5231434
0,62.66667,0.5269815
0,63,0.5308092
0,63.33333,0.5346264
0,63.66667,0.5384329
0,64,0.5422288
0,64.33334,0.5460137
0,64.66666,0.5497877
0,65,0.5535508
0,65.33334,0.5573027
0,65.66666,0.5610434
0,66,0.5647729
0,66.33334,0.5684911
0,66.66666,0.5721979
0,67,0.5758932
0,67.33334,0.579577
0,67.66666,0.5832491
0,68,0.5869095
0,68.33334,0.5905581
0,68.66666,0.5941949
0,69,0.59782
0,69.33334,0.6014331
0,69.66666,0.6050342
0,70,0.6086233
0,70.33334,0.6122002
0,70.66666,0.615765
0,71,0.6193176
0,71.33334,0.622858
0,71.66666,0.6263862
0,72,0.6299021
0,72.33334,0.6334056
0,72.66666,0.6368967
0,73,0.6403754
0,73.33334,0.6438417
0,73.66666,0.6472956
0,74,0.650737
0,74.33334,0.6541658
0,74.66666,0.6575822
0,75,0.6609859
0,75.33334,0.6643772
0,75.66666,0.6677558
0,76,0.6711218
0,76.33334,0.6744753
0,76.66666,0.6778161
0,77,0.6811442
0,77.33334,0.6844598
0,77.66666,0.6877627
0,78,0.6910529
0,78.33334,0.6943304
0,78.66666,0.6975953
