"IndividualId","Time [min]","Organism|PeripheralVenousBlood|average compound|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,0.3333333,1.393351E-09
0,0.6666667,3.102277E-07
0,1,4.927272E-06
0,1.333333,2.879539E-05
0,1.666667,0.0001013674
0,2,0.000264612
0,2.333333,0.0005688142
0,2.666667,0.001068381
0,3,0.001818382
0,3.333333,0.002871962
0,3.666667,0.004278569
0,4,0.006082743
0,4.333333,0.008323374
0,4.666667,0.01103341
0,5,0.01423985
0,5.333333,0.01796384
0,5.666667,0.02222091
0,6,0.02702136
0,6.333333,0.03237053
0,6.666667,0.03826945
0,7,0.04471524
0,7.333333,0.05170155
0,7.666667,0.05921903
0,8,0.06725568
0,8.333333,0.07579726
0,8.666667,0.08482765
0,9,0.09432928
0,9.333333,0.1042834
0,9.666667,0.1146703
0,10,0.1254696
0,10.33333,0.1366607
0,10.66667,0.1482223
0,11,0.1601331
0,11.33333,0.172372
0,11.66667,0.1849182
0,12,0.1977511
0,12.33333,0.2108503
0,12.66667,0.2241959
0,13,0.2377686
0,13.33333,0.2515496
0,13.66667,0.2655206
0,14,0.2796639
0,14.33333,0.2939625
0,14.66667,0.3084003
0,15,0.3229614
0,15.33333,0.3376307
0,15.66667,0.352394
0,16,0.3672373
0,16.33333,0.3821475
0,16.66667,0.3971122
0,17,0.4121194
0,17.33333,0.4271578
0,17.66667,0.4422167
0,18,0.4572859
0,18.33333,0.4723559
0,18.66667,0.4874174
0,19,0.502462
0,19.33333,0.5174816
0,19.66667,0.5324686
0,20,0.5474157
0,20.33333,0.5623162
0,20.66667,0.5771638
0,21,0.5919526
0,21.33333,0.6066771
0,21.66667,0.6213321
0,22,0.6359128
0,22.33333,0.6504148
0,22.66667,0.6648336
0,23,0.6791657
0,23.33333,0.6934073
0,23.66667,0.7075551
0,24,0.7216062
0,24.33333,0.7355577
0,24.66667,0.7494069
0,25,0.7631519
0,25.33333,0.7767901
0,25.66667,0.7903197
0,26,0.8037391
0,26.33333,0.8170466
0,26.66667,0.8302408
0,27,0.8433204
0,27.33333,0.8562844
0,27.66667,0.8691319
0,28,0.8818619
0,28.33333,0.8944739
0,28.66667,0.9069671
0,29,0.9193412
0,29.33333,0.9315958
0,29.66667,0.9437307
0,30,0.9557456
0,30.33333,0.9676405
0,30.66667,0.9794155
0,31,0.9910705
0,31.33333,1.002606
0,31.66667,1.014022
0,32,1.025318
0,32.33333,1.036496
0,32.66667,1.047555
0,33,1.058496
0,33.33333,1.06932
0,33.66667,1.080027
0,34,1.090617
0,34.33333,1.101091
0,34.66667,1.111451
0,35,1.121696
0,35.33333,1.131827
0,35.66667,1.141845
0,36,1.151751
0,36.33333,1.161546
0,36.66667,1.17123
0,37,1.180804
0,37.33333,1.19027
0,37.66667,1.199627
0,38,1.208878
0,38.33333,1.218022
0,38.66667,1.22706
0,39,1.235995
0,39.33333,1.244825
0,39.66667,1.253554
0,40,1.26218
0,40.33333,1.270706
0,40.66667,1.279133
0,41,1.28746
0,41.33333,1.29569
0,41.66667,1.303823
0,42,1.31186
0,42.33333,1.319802
0,42.66667,1.32765
0,43,1.335405
0,43.33333,1.343068
0,43.66667,1.35064
0,44,1.358122
0,44.33333,1.365514
0,44.66667,1.372819
0,45,1.380036
0,45.33333,1.387167
0,45.66667,1.394212
0,46,1.401173
0,46.33333,1.40805
0,46.66667,1.414845
0,47,1.421558
0,47.33333,1.42819
0,47.66667,1.434742
0,48,1.441215
0,48.33333,1.44761
0,48.66667,1.453928
0,49,1.46017
0,49.33333,1.466336
0,49.66667,1.472427
0,50,1.478445
0,50.33333,1.484389
0,50.66667,1.490262
0,51,1.496063
0,51.33333,1.501794
0,51.66667,1.507455
0,52,1.513048
0,52.33333,1.518572
0,52.66667,1.524029
0,53,1.52942
0,53.33333,1.534745
0,53.66667,1.540006
0,54,1.545202
0,54.33333,1.550335
0,54.66667,1.555405
0,55,1.560414
0,55.33333,1.565361
0,55.66667,1.570248
0,56,1.575075
0,56.33333,1.579843
0,56.66667,1.584553
0,57,1.589206
0,57.33333,1.593802
0,57.66667,1.598341
0,58,1.602825
0,58.33333,1.607254
0,58.66667,1.611629
0,59,1.61595
0,59.33333,1.620219
0,59.66667,1.624435
0,60,1.628599
0,60.33333,1.632713
0,60.66667,1.636776
0,61,1.64079
0,61.33333,1.644754
0,61.66667,1.648669
0,62,1.652537
0,62.33333,1.656357
0,62.66667,1.660131
0,63,1.663858
0,63.33333,1.667539
0,63.66667,1.671176
0,64,1.674767
0,64.33334,1.678315
0,64.66666,1.681819
0,65,1.68528
0,65.33334,1.688699
0,65.66666,1.692076
0,66,1.695411
0,66.33334,1.698705
0,66.66666,1.701959
0,67,1.705173
0,67.33334,1.708348
0,67.66666,1.711484
0,68,1.714581
0,68.33334,1.71764
0,68.66666,1.720662
0,69,1.723646
0,69.33334,1.726594
0,69.66666,1.729506
0,70,1.732382
0,70.33334,1.735222
0,70.66666,1.738028
0,71,1.7408
0,71.33334,1.743537
0,71.66666,1.746241
0,72,1.748911
0,72.33334,1.751549
0,72.66666,1.754155
0,73,1.756729
0,73.33334,1.75927
0,73.66666,1.761781
0,74,1.764261
0,74.33334,1.766711
0,74.66666,1.769131
0,75,1.771521
0,75.33334,1.773882
0,75.66666,1.776213
0,76,1.778516
0,76.33334,1.780791
0,76.66666,1.783039
0,77,1.785258
0,77.33334,1.787451
0,77.66666,1.789616
0,78,1.791756
0,78.33334,1.793868
0,78.66666,1.795956
0,79,1.798017
0,79.33334,1.800053
0,79.66666,1.802065
0,80,1.804052
0,80.33334,1.806015
0,80.66666,1.807953
0,81,1.809868
0,81.33334,1.81176
0,81.66666,1.813628
0,82,1.815474
0,82.33334,1.817297
0,82.66666,1.819098
0,83,1.820878
0,83.33334,1.822635
0,83.66666,1.824371
0,84,1.826086
0,84.33334,1.82778
0,84.66666,1.829453
0,85,1.831106
0,85.33334,1.832739
0,85.66666,1.834352
0,86,1.835946
0,86.33334,1.83752
0,86.66666,1.839075
0,87,1.840612
0,87.33334,1.842129
0,87.66666,1.843628
0,88,1.845109
0,88.33334,1.846573
0,88.66666,1.848018
0,89,1.849446
0,89.33334,1.850857
0,89.66666,1.852251
0,90,1.853628
0,90.33334,1.854988
0,90.66666,1.856332
0,91,1.85766
0,91.33334,1.858971
0,91.66666,1.860267
0,92,1.861548
0,92.33334,1.862813
0,92.66666,1.864063
0,93,1.865298
0,93.33334,1.866518
0,93.66666,1.867723
0,94,1.868914
0,94.33334,1.870091
0,94.66666,1.871254
0,95,1.872403
0,95.33334,1.873538
0,95.66666,1.87466
0,96,1.875768
0,96.33334,1.876863
0,96.66666,1.877945
0,97,1.879014
0,97.33334,1.880071
0,97.66666,1.881115
0,98,1.882147
0,98.33334,1.883167
0,98.66666,1.884174
0,99,1.88517
0,99.33334,1.886154
0,99.66666,1.887126
0,100,1.888087
0,100.3333,1.889037
0,100.6667,1.889975
0,101,1.890903
0,101.3333,1.891819
0,101.6667,1.892725
0,102,1.893621
0,102.3333,1.894506
0,102.6667,1.895381
0,103,1.896245
0,103.3333,1.8971
0,103.6667,1.897944
0,104,1.898779
0,104.3333,1.899604
0,104.6667,1.90042
0,105,1.901226
0,105.3333,1.902023
0,105.6667,1.902811
0,106,1.90359
0,106.3333,1.90436
0,106.6667,1.905121
0,107,1.905874
0,107.3333,1.906618
0,107.6667,1.907354
0,108,1.908081
0,108.3333,1.9088
0,108.6667,1.909511
0,109,1.910213
0,109.3333,1.910908
0,109.6667,1.911596
0,110,1.912275
0,110.3333,1.912947
0,110.6667,1.913611
0,111,1.914268
0,111.3333,1.914918
0,111.6667,1.915561
0,112,1.916196
0,112.3333,1.916825
0,112.6667,1.917446
0,113,1.918061
0,113.3333,1.918669
0,113.6667,1.91927
0,114,1.919865
0,114.3333,1.920453
0,114.6667,1.921035
0,115,1.921611
0,115.3333,1.92218
0,115.6667,1.922744
0,116,1.923301
0,116.3333,1.923852
0,116.6667,1.924398
0,117,1.924937
0,117.3333,1.925471
0,117.6667,1.925999
0,118,1.926522
0,118.3333,1.927038
0,118.6667,1.927549
0,119,1.928054
0,119.3333,1.928552
0,119.6667,1.929045
0,120,1.929531
0,120.3333,1.93001
0,120.6667,1.930483
0,121,1.930949
0,121.3333,1.931402
0,121.6667,1.931836
0,122,1.932244
0,122.3333,1.932614
0,122.6667,1.932938
0,123,1.933201
0,123.3333,1.933399
0,123.6667,1.933518
0,124,1.933553
0,124.3333,1.933493
0,124.6667,1.933333
0,125,1.933066
0,125.3333,1.932685
0,125.6667,1.932188
0,126,1.931569
0,126.3333,1.930824
0,126.6667,1.929956
0,127,1.928958
0,127.3333,1.927831
0,127.6667,1.926576
0,128,1.925191
0,128.3333,1.923678
0,128.6667,1.922037
0,129,1.920268
0,129.3333,1.918374
0,129.6667,1.916356
0,130,1.914214
0,130.3333,1.911952
0,130.6667,1.90957
0,131,1.90707
0,131.3333,1.904454
0,131.6667,1.901724
0,132,1.898882
0,132.3333,1.895929
0,132.6667,1.892869
0,133,1.889701
0,133.3333,1.88643
0,133.6667,1.883056
0,134,1.879581
0,134.3333,1.876008
0,134.6667,1.872338
0,135,1.868573
0,135.3333,1.864715
0,135.6667,1.860767
0,136,1.856728
0,136.3333,1.852603
0,136.6667,1.848391
0,137,1.844095
0,137.3333,1.839716
0,137.6667,1.835256
0,138,1.830716
0,138.3333,1.826099
0,138.6667,1.821406
0,139,1.816637
0,139.3333,1.811795
0,139.6667,1.80688
0,140,1.801895
0,140.3333,1.79684
0,140.6667,1.791717
0,141,1.786528
0,141.3333,1.781272
0,141.6667,1.775951
0,142,1.770567
0,142.3333,1.765121
0,142.6667,1.759614
0,143,1.754046
0,143.3333,1.74842
0,143.6667,1.742735
0,144,1.736993
0,144.3333,1.731195
0,144.6667,1.725342
0,145,1.719434
0,145.3333,1.713473
0,145.6667,1.70746
0,146,1.701395
0,146.3333,1.695279
0,146.6667,1.689113
0,147,1.682898
0,147.3333,1.676635
0,147.6667,1.670324
0,148,1.663966
0,148.3333,1.657562
0,148.6667,1.651113
0,149,1.644619
0,149.3333,1.638082
0,149.6667,1.6315
0,150,1.624877
0,150.3333,1.618212
0,150.6667,1.611505
0,151,1.604758
0,151.3333,1.59797
0,151.6667,1.591143
0,152,1.584278
0,152.3333,1.577374
0,152.6667,1.570433
0,153,1.563455
0,153.3333,1.55644
0,153.6667,1.54939
0,154,1.542304
0,154.3333,1.535182
0,154.6667,1.528027
0,155,1.520837
0,155.3333,1.513614
0,155.6667,1.506359
0,156,1.499071
0,156.3333,1.491751
0,156.6667,1.484399
0,157,1.477017
0,157.3333,1.469603
0,157.6667,1.46216
0,158,1.454687
0,158.3333,1.447184
0,158.6667,1.439652
0,159,1.432092
0,159.3333,1.424504
0,159.6667,1.416889
0,160,1.409246
0,160.3333,1.401576
0,160.6667,1.393879
0,161,1.386157
0,161.3333,1.378409
0,161.6667,1.370635
0,162,1.362836
0,162.3333,1.355013
0,162.6667,1.347165
0,163,1.339293
0,163.3333,1.331398
0,163.6667,1.32348
0,164,1.315538
0,164.3333,1.307575
0,164.6667,1.299588
0,165,1.29158
0,165.3333,1.283551
0,165.6667,1.2755
0,166,1.267428
0,166.3333,1.259335
0,166.6667,1.251222
0,167,1.243089
0,167.3333,1.234936
0,167.6667,1.226763
0,168,1.218572
0,168.3333,1.210361
0,168.6667,1.202132
0,169,1.193885
0,169.3333,1.185619
0,169.6667,1.177336
0,170,1.169035
0,170.3333,1.160717
0,170.6667,1.152382
0,171,1.144029
0,171.3333,1.135661
0,171.6667,1.127276
0,172,1.118875
0,172.3333,1.110458
0,172.6667,1.102026
0,173,1.093579
0,173.3333,1.085116
0,173.6667,1.076638
0,174,1.068146
0,174.3333,1.05964
0,174.6667,1.051119
0,175,1.042584
0,175.3333,1.034035
0,175.6667,1.025473
0,176,1.016898
0,176.3333,1.008309
0,176.6667,0.9997075
0,177,0.9910932
0,177.3333,0.9824664
0,177.6667,0.9738272
0,178,0.965176
0,178.3333,0.9565127
0,178.6667,0.9478378
0,179,0.9391513
0,179.3333,0.9304534
0,179.6667,0.9217443
0,180,0.9130243
0,181,0.8868014
0,182,0.8605479
0,183,0.8345026
0,184,0.8089737
0,185,0.7842168
0,186,0.7604029
0,187,0.737627
0,188,0.7159255
0,189,0.6952948
